line_index,line_syllable_count,word_count,average_syllable,max_syllable_count,min_syllable_count
384,13,6,2.1666666666666665,4,1
385,13,6,2.1666666666666665,4,1
386,9,5,1.8,3,1
387,9,4,2.25,4,1
388,9,5,1.8,3,1
389,14,6,2.3333333333333335,4,1
390,11,6,1.8333333333333333,3,1
391,14,6,2.3333333333333335,5,1
392,12,5,2.4,4,1
393,8,3,2.6666666666666665,3,2
394,12,4,3.0,6,1
395,16,8,2.0,5,1
396,13,7,1.8571428571428572,4,1
397,14,5,2.8,4,2
398,10,6,1.6666666666666667,3,1
399,13,7,1.8571428571428572,3,1
400,9,5,1.8,3,1
401,9,4,2.25,3,2
402,9,4,2.25,5,1
403,12,6,2.0,3,1
404,11,4,2.75,6,1
405,13,5,2.6,5,1
406,11,5,2.2,4,1
407,8,4,2.0,3,1
408,13,5,2.6,5,1
409,9,4,2.25,4,1
410,10,6,1.6666666666666667,3,1
411,11,5,2.2,5,1
412,11,4,2.75,4,1
413,14,6,2.3333333333333335,5,1
414,13,5,2.6,5,1
415,13,6,2.1666666666666665,5,1
416,13,7,1.8571428571428572,3,1
417,11,4,2.75,5,1
418,11,6,1.8333333333333333,4,1
419,10,5,2.0,4,1
420,15,6,2.5,6,1
421,10,3,3.3333333333333335,5,1
422,12,5,2.4,4,1
423,11,5,2.2,4,1
424,9,4,2.25,4,1
425,9,6,1.5,2,1
426,9,3,3.0,5,1
427,10,5,2.0,3,1
428,11,5,2.2,4,1
429,9,4,2.25,5,1
430,10,6,1.6666666666666667,3,1
431,7,5,1.4,3,0
432,12,6,2.0,3,1
433,10,5,2.0,3,1
434,15,6,2.5,5,1
435,15,7,2.142857142857143,4,1
436,12,5,2.4,4,1
437,11,5,2.2,4,1
438,12,4,3.0,4,1
439,8,4,2.0,3,1
440,9,5,1.8,2,1
441,8,3,2.6666666666666665,4,1
442,11,6,1.8333333333333333,4,1
443,10,4,2.5,5,1
444,12,5,2.4,5,1
445,7,3,2.3333333333333335,4,1
446,11,4,2.75,4,2
447,17,7,2.4285714285714284,6,1
448,12,5,2.4,4,1
449,11,4,2.75,3,2
450,10,4,2.5,5,1
451,11,5,2.2,4,1
452,22,9,2.4444444444444446,5,1
453,11,5,2.2,4,1
454,10,6,1.6666666666666667,3,1
455,10,5,2.0,3,1
456,8,4,2.0,3,1
457,10,5,2.0,3,1
458,11,4,2.75,5,2
459,13,5,2.6,3,2
460,16,5,3.2,5,1
461,8,3,2.6666666666666665,5,1
462,10,5,2.0,3,1
463,9,5,1.8,3,1
464,8,4,2.0,4,1
465,11,5,2.2,4,1
466,9,3,3.0,5,1
467,11,4,2.75,5,1
468,10,5,2.0,3,1
469,12,5,2.4,4,1
470,8,4,2.0,3,1
471,10,4,2.5,5,1
472,10,5,2.0,3,1
473,7,4,1.75,3,1
474,6,6,1.0,2,0
475,9,4,2.25,3,1
476,9,4,2.25,5,1
477,12,7,1.7142857142857142,3,1
478,11,5,2.2,4,1
479,10,5,2.0,3,1
480,11,4,2.75,4,1
481,10,5,2.0,4,1
482,11,5,2.2,5,1
483,10,4,2.5,5,1
484,11,5,2.2,4,1
485,12,5,2.4,4,1
486,13,8,1.625,4,0
487,11,6,1.8333333333333333,3,1
488,16,5,3.2,6,1
489,13,5,2.6,5,1
490,14,7,2.0,4,1
491,11,4,2.75,6,1
492,13,6,2.1666666666666665,5,1
493,10,4,2.5,5,1
494,9,4,2.25,4,1
495,11,4,2.75,3,2
496,13,6,2.1666666666666665,4,1
497,11,6,1.8333333333333333,3,1
498,8,5,1.6,2,1
499,7,6,1.1666666666666667,4,0
500,13,5,2.6,4,1
501,10,6,1.6666666666666667,3,1
502,13,5,2.6,5,1
503,10,4,2.5,4,1
504,13,6,2.1666666666666665,4,1
505,13,7,1.8571428571428572,3,1
